연번,인허가관할기관,업소명,업종,업태,업소주소,영업상태
31026,인천광역시 서구,전설의탕탕탕,일반음식점,한식,인천광역시 서구 가정로 111(4&1 레뷰 105호 가좌동),정상
31027,인천광역시 서구,전성춘설렁탕,일반음식점,한식,인천광역시 서구 심곡로 142(1층일부 심곡동),정상
31028,인천광역시 서구,전원닭갈비,일반음식점,기타,"인천광역시 서구 길주로75번길 34(가우상가 1동 1층 석남동, 513-6 가우상가 1동102호)",정상
31029,인천광역시 서구,전원쌈밥정육식당,일반음식점,기타,인천광역시 서구 봉화로 69(오류동),정상
31030,인천광역시 서구,전이야기,일반음식점,호프/통닭,"인천광역시 서구 신진말로 26(108호 가좌동, 진주프라자)",정상
31031,인천광역시 서구,전주,일반음식점,정종/대포집/소주방,"인천광역시 서구 가정로293번길 12-1(석남동, 453-27)",정상
31032,인천광역시 서구,전주 명가 콩나물 국밥,일반음식점,한식,"인천광역시 서구 중봉대로612번길 10-17(연희동, 청라타워돔 101호 102호)",정상
31033,인천광역시 서구,전주명가콩나물국밥,일반음식점,한식,"인천광역시 서구 가정로 111(4&1 레뷰 102,103호 가좌동)",정상
31034,인천광역시 서구,전주밥상,일반음식점,한식,"인천광역시 서구 고산로40번1길 4(원당동,1층)",정상
31035,인천광역시 서구,전주식당,일반음식점,뷔페식,"인천광역시 서구 중봉대로 274(석남동, 650-47)",정상
31036,인천광역시 서구,전주식당,일반음식점,기타,인천광역시 서구 봉수대로 251(가좌동),정상
31037,인천광역시 서구,전주식당,일반음식점,한식,인천광역시 서구 중봉대로393번길 142(5동 1층 원창동),정상
31038,인천광역시 서구,전주정,일반음식점,한식,인천광역시 서구 가정로224번길 4(석남동),정상
31039,인천광역시 서구,전주콩나물국밥,일반음식점,한식,인천광역시 서구 승학로 486(101호 검암동),정상
31040,인천광역시 서구,전주콩나물국밥 청라4단지점,일반음식점,호프/통닭,"인천광역시 서구 청라커낼로233번길 11(경서동, 1층 전체)",정상
31041,인천광역시 서구,전주콩나물국밥·대구뽈탕,일반음식점,한식,"인천광역시 서구 원당대로 103(오류동, 1층 일부)",정상
31042,인천광역시 서구,전주팥칼국수,일반음식점,한식,인천광역시 서구 석곶로 3(가정동),정상
31043,인천광역시 서구,전주한방콩나물국밥,일반음식점,정종/대포집/소주방,"인천광역시 서구 길주로75번길 2(1층 석남동, 518-31층일부)",정상
31044,인천광역시 서구,전집,일반음식점,기타,인천광역시 서구 염곡로498번안길 28(청담프라자 103호 가정동),정상
31045,인천광역시 서구,정,일반음식점,호프/통닭,인천광역시 서구 탁옥로 50(심곡동),정상
31046,인천광역시 서구,정 솥뚜껑오겹살,일반음식점,분식,인천광역시 서구 탁옥로 17(1층일부 심곡동),정상
